District,Rainfall,Water_Level,Humidity,Temperature,Wind_Speed,Flood_Occurrence
Salem,0.0,1.07,70.4,35.7,8.9,0
Dindigul,0.74,0.66,74.7,20.2,18.1,0
Thoothukudi,0.2,2.54,79.8,27.4,12.2,0
Virudhunagar,0.0,0.91,41.0,32.1,6.2,0
Chennai,1.0,2.67,83.7,28.0,108.7,0
Nagapattinam,29.42,2.13,88.9,29.4,21.5,0
Dharmapuri,0.0,1.33,44.8,37.1,12.3,0
Chennai,0.85,0.3,91.8,30.8,25.8,0
Tirunelveli,0.0,1.27,51.1,36.4,9.6,0
Viluppuram,0.0,0.69,68.0,32.2,12.5,0
Krishnagiri,0.0,0.66,70.4,38.5,9.7,0
Tirupathur,6.62,1.19,75.4,16.5,5.0,0
Tiruvallur,7.07,0.83,76.7,31.3,15.8,1
Chennai,37.79,2.27,82.2,25.3,29.4,0
Tirunelveli,0.0,1.16,49.3,37.8,16.9,0
Thoothukudi,9.89,2.73,69.6,28.1,30.1,0
Namakkal,0.0,1.17,72.8,35.1,16.3,0
Ramanathapuram,0.86,1.63,74.8,34.9,30.9,0
Tiruppur,0.0,1.11,70.2,35.0,23.4,0
Tiruchirappalli,3.93,3.72,66.1,40.2,22.1,0
Thoothukudi,55.71,3.39,93.4,31.7,130.0,0
Ranipet,0.0,0.68,56.1,28.6,6.3,1
Cuddalore,5.35,1.63,76.9,21.9,50.2,0
Tiruchirappalli,1.39,3.72,67.2,29.2,6.4,0
Dindigul,15.41,1.4,91.6,16.5,21.3,0
Kanyakumari,178.85,6.91,93.0,28.7,83.3,0
Dindigul,94.65,5.53,75.9,17.6,15.9,0
Krishnagiri,0.0,1.01,74.8,35.7,7.0,0
Thanjavur,183.36,9.86,96.5,31.4,22.8,1
Erode,0.0,0.87,52.4,34.2,9.2,0
Theni,24.37,3.2,70.6,13.2,5.5,1
Mayiladuthurai,23.85,2.07,83.3,32.6,19.7,0
Theni,35.08,2.38,78.2,21.3,9.1,0
Viluppuram,0.0,1.31,57.7,29.5,5.9,0
Tirupathur,29.93,2.47,67.9,22.2,12.9,1
Tirupathur,106.34,4.83,78.6,8.8,8.4,0
Virudhunagar,0.0,1.02,43.8,39.0,26.7,0
Kanyakumari,53.12,2.72,90.6,33.0,26.8,0
Perambalur,0.0,0.96,65.0,37.3,9.2,0
Coimbatore,0.0,1.24,49.5,36.9,20.1,0
Mayiladuthurai,2.04,2.81,79.4,30.2,30.3,0
Mayiladuthurai,26.45,2.12,94.2,29.8,49.4,0
Dharmapuri,0.0,0.46,67.0,36.2,5.1,0
Sivaganga,0.0,0.95,65.1,34.7,28.2,0
Dindigul,65.59,4.41,85.5,8.0,19.3,1
Salem,0.0,0.92,55.3,37.4,10.2,0
Cuddalore,3.26,1.57,67.8,30.7,75.2,0
Coimbatore,0.0,1.04,46.0,37.3,14.7,0
Cuddalore,30.4,1.77,74.8,35.1,22.0,0
Cuddalore,38.52,2.88,72.7,31.1,48.1,0
Thanjavur,20.87,3.36,60.3,32.1,8.5,0
Tiruchirappalli,36.1,5.06,70.4,32.6,10.1,0
Kallakurichi,0.0,0.84,70.5,34.4,9.1,0
Dindigul,14.89,2.39,70.8,21.1,19.5,0
Karur,0.0,4.42,56.5,21.5,29.4,0
Cuddalore,20.27,2.13,90.2,29.8,35.4,1
Ariyalur,19.49,2.94,71.6,32.8,14.1,0
Cuddalore,23.22,2.71,93.0,25.9,21.6,0
Chennai,17.53,2.23,84.6,30.8,18.2,0
Tiruvallur,2.95,1.49,69.5,29.8,111.1,0
Ariyalur,11.59,3.66,70.3,28.9,9.6,0
Perambalur,0.0,1.37,56.6,36.9,46.4,0
Tiruvannamalai,0.91,0.99,71.2,36.3,16.4,0
Ranipet,0.0,1.58,48.9,30.6,11.1,0
Nagapattinam,14.93,1.98,68.4,29.2,55.3,1
Tirunelveli,0.0,1.13,59.0,35.8,8.3,0
Ranipet,0.0,1.21,63.9,34.6,25.1,0
Thanjavur,8.88,4.24,66.7,34.9,8.1,0
Nagapattinam,3.63,0.63,67.6,31.0,12.9,0
Pudukkottai,30.48,2.25,69.7,31.8,19.8,1
Kanyakumari,6.52,2.56,86.1,23.0,16.1,0
Tirupathur,72.28,4.34,83.4,10.6,9.9,1
Viluppuram,0.0,0.78,41.7,39.4,6.9,0
Mayiladuthurai,0.84,1.38,87.3,29.1,64.1,1
Salem,0.0,0.33,73.0,34.7,9.2,0
Tiruppur,0.0,0.82,60.2,35.4,18.8,0
The Nilgiris,133.89,6.73,74.3,17.4,11.8,0
Sivaganga,0.0,0.94,42.1,34.3,11.1,0
Tiruvannamalai,0.0,1.4,53.8,34.3,5.1,0
Sivaganga,0.0,0.84,65.3,33.9,6.6,0
Vellore,7.19,1.45,66.7,36.4,6.0,0
Thoothukudi,35.95,1.1,69.8,31.3,30.1,0
Tirupathur,115.64,6.2,76.0,19.1,10.8,0
Chengalpattu,75.64,2.82,78.7,30.2,40.2,0
Tiruchirappalli,31.09,4.12,76.7,32.5,10.8,1
Ramanathapuram,65.96,2.03,78.7,31.2,34.2,0
Sivaganga,0.0,1.19,71.7,36.0,10.7,0
Thoothukudi,37.47,3.39,71.8,27.6,28.8,0
Chengalpattu,0.06,1.77,71.5,35.0,26.8,0
Cuddalore,48.98,2.38,79.6,28.4,30.7,0
Theni,77.17,4.21,70.5,13.6,11.6,0
Pudukkottai,15.12,2.14,80.8,27.4,82.2,0
Tiruppur,0.0,1.15,73.7,29.4,13.1,0
Sivaganga,0.0,0.72,64.8,34.2,7.3,0
Tirupathur,58.75,4.21,98.9,10.5,9.0,0
Sivaganga,0.0,0.33,65.3,34.2,7.9,0
Cuddalore,2.23,1.77,70.5,32.3,23.2,0
Krishnagiri,0.0,0.78,43.8,36.0,8.0,0
Ranipet,0.0,1.04,60.4,40.7,7.9,0
Cuddalore,21.92,1.97,78.7,29.3,51.7,0
Madurai,0.0,1.12,69.4,30.2,6.4,0
The Nilgiris,15.66,2.09,83.2,19.7,4.9,1
Tirupathur,0.62,1.22,71.3,16.1,4.4,0
Vellore,0.0,0.95,56.4,34.0,16.3,0
Viluppuram,0.0,1.3,56.2,33.8,13.9,0
Tiruvallur,0.93,2.23,66.6,26.9,36.6,0
Theni,82.6,4.59,96.7,14.4,13.8,0
Karur,22.98,3.65,65.9,32.3,18.0,0
Erode,0.0,0.61,52.5,32.3,11.6,0
Ramanathapuram,102.02,3.24,85.6,26.0,40.7,0
Virudhunagar,0.0,0.79,48.5,34.2,9.0,0
Ranipet,0.0,0.8,67.1,38.3,48.4,0
Tiruvarur,7.99,0.82,68.4,27.1,45.2,0
Tirunelveli,0.0,1.12,47.3,40.6,16.6,0
Tiruchirappalli,7.84,3.22,66.9,35.0,13.8,0
Tirunelveli,0.0,1.03,43.5,30.9,16.0,0
Tiruvarur,6.12,1.28,67.0,27.6,18.1,0
Coimbatore,0.0,0.98,71.5,32.9,15.3,0
Chengalpattu,23.42,1.92,78.5,30.5,29.5,0
Tiruvarur,3.85,1.6,68.9,28.4,61.1,0
Tirupathur,250.61,11.72,100.0,8.0,22.3,1
Viluppuram,0.0,0.3,73.1,39.7,7.6,0
Chengalpattu,38.5,2.52,73.8,31.1,30.0,0
Erode,0.0,0.86,62.8,34.9,15.6,0
Salem,0.0,1.24,44.0,32.1,5.6,0
Chengalpattu,13.55,1.5,92.6,30.2,29.2,1
Virudhunagar,0.0,0.3,42.0,37.9,14.3,0
Karur,6.96,5.2,63.5,30.4,11.7,1
Tirupathur,78.49,4.27,74.2,15.5,8.2,0
Kanyakumari,102.08,3.83,96.5,28.5,68.2,0
Coimbatore,17.89,1.4,54.1,30.1,7.8,0
Virudhunagar,56.58,1.81,80.2,38.9,30.4,0
Thanjavur,0.62,1.69,74.7,32.2,7.2,0
Salem,0.0,1.21,74.8,34.3,18.9,0
Viluppuram,3.86,0.44,50.5,40.9,18.7,0
Tiruvarur,28.0,2.33,88.6,30.6,25.9,0
Dindigul,36.96,1.71,80.2,12.9,6.9,0
Krishnagiri,0.0,0.9,48.2,41.3,8.3,0
Tiruvannamalai,0.0,0.78,62.9,34.8,20.7,0
Krishnagiri,0.0,1.17,54.8,37.7,19.8,0
Tiruchirappalli,5.73,5.51,59.3,34.1,15.2,0
Viluppuram,0.0,0.63,71.3,31.8,20.1,0
Vellore,0.0,0.6,47.5,39.0,8.5,0
Virudhunagar,0.0,1.39,71.4,35.3,17.2,0
Erode,23.76,0.96,53.0,34.4,23.4,0
Perambalur,0.0,0.3,44.7,39.3,16.1,0
Namakkal,0.0,0.46,48.3,35.8,8.0,0
Tiruvallur,45.0,2.77,81.9,32.2,41.9,0
Erode,0.0,0.71,74.3,33.7,15.1,0
Tirunelveli,0.0,1.2,41.3,36.8,17.0,0
Tenkasi,8.47,2.08,95.8,21.5,7.4,0
Thanjavur,31.48,3.08,86.3,37.0,17.9,0
Coimbatore,0.0,0.67,48.8,36.2,57.2,0
Dharmapuri,0.0,1.23,72.7,40.4,9.4,0
Dharmapuri,0.0,1.36,59.7,35.9,13.8,0
Thoothukudi,137.65,5.63,100.0,27.7,64.7,1
Tirunelveli,0.0,0.93,67.6,33.8,7.3,0
Krishnagiri,0.0,1.11,68.1,35.3,6.4,0
Vellore,0.0,1.1,47.1,35.5,9.9,0
Ramanathapuram,5.7,2.03,91.3,31.9,15.3,0
Tiruchirappalli,20.55,3.77,71.3,33.4,32.8,0
Madurai,0.0,0.7,41.9,34.5,6.6,0
Tiruvallur,0.67,1.56,71.9,28.4,69.0,0
The Nilgiris,21.05,2.85,85.8,13.7,8.5,0
Nagapattinam,13.31,2.49,76.2,31.2,26.2,0
Tirupathur,22.16,2.54,89.3,23.3,11.2,0
Dharmapuri,0.0,1.58,57.8,40.2,9.4,0
Kanyakumari,3.2,1.67,83.4,33.5,25.8,0
Virudhunagar,0.0,0.3,67.3,35.9,24.5,0
Sivaganga,0.0,1.03,63.2,27.9,5.2,0
Tiruvannamalai,0.0,1.52,63.9,36.4,31.0,0
Thanjavur,86.88,6.69,72.0,31.8,22.5,0
Nagapattinam,28.15,2.32,73.7,28.2,54.0,0
Tenkasi,75.22,4.31,91.9,13.4,22.5,0
Ranipet,0.0,0.73,51.6,38.5,14.8,0
Cuddalore,62.35,2.64,74.3,32.1,37.1,0
Ranipet,0.0,0.79,72.1,31.5,15.0,0
Viluppuram,0.0,0.92,42.0,29.7,7.7,0
Salem,1.86,1.28,48.0,30.0,6.6,0
Pudukkottai,0.85,0.78,85.0,28.5,22.2,0
Coimbatore,0.0,0.83,41.7,31.6,12.1,0
Sivaganga,0.0,0.92,51.7,31.1,12.2,0
Tiruvarur,24.08,1.88,69.9,29.1,24.9,0
Salem,0.0,1.19,71.0,35.7,14.8,0
Ariyalur,1.44,2.06,78.0,32.1,7.6,0
Theni,93.4,5.16,81.5,15.6,16.7,0
Vellore,0.0,0.85,54.7,36.5,6.7,0
Thoothukudi,49.56,3.37,76.9,32.6,91.4,0
Madurai,0.0,1.18,52.4,35.4,8.6,0
Thanjavur,4.83,2.84,74.9,26.9,7.3,0
The Nilgiris,59.01,3.7,98.0,14.6,17.5,1
Nagapattinam,51.85,2.77,92.2,29.0,31.5,0
Salem,0.0,1.62,49.9,32.5,8.3,0
Theni,49.16,3.3,67.4,19.1,14.3,1
Nagapattinam,0.89,1.91,69.5,29.8,29.1,0
Ariyalur,6.99,2.9,64.1,28.8,23.7,0
Tiruppur,0.0,1.1,48.6,32.9,24.2,0
Tiruvarur,44.42,3.22,94.3,29.8,35.7,0
Tiruchirappalli,3.91,3.31,69.4,29.3,28.7,0
Tirunelveli,0.0,0.82,44.1,37.1,9.9,0
Viluppuram,0.0,1.08,64.5,32.7,9.4,0
Pudukkottai,3.26,1.79,76.5,36.6,26.0,0
Dindigul,40.84,2.65,65.6,17.1,6.3,0
Sivaganga,0.0,1.27,73.3,34.4,16.6,0
Thanjavur,4.58,4.58,80.6,29.0,14.6,0
Karur,0.11,3.05,79.4,35.4,15.3,0
Ranipet,0.0,0.69,60.6,34.9,7.7,0
Tiruvannamalai,0.0,0.33,69.9,30.8,13.0,0
Tiruvallur,1.66,3.25,73.2,30.2,15.4,1
Cuddalore,1.26,0.3,73.5,35.1,42.9,0
Karur,38.98,5.2,77.2,31.9,17.9,0
Ariyalur,18.89,5.02,65.6,34.2,8.5,1
Karur,9.43,3.91,63.2,34.0,38.1,0
Thanjavur,76.4,4.05,65.8,30.5,16.3,0
Cuddalore,152.68,5.21,85.9,27.1,56.9,0
Tirunelveli,0.0,1.01,57.0,33.1,11.9,0
Tiruvarur,45.93,3.07,82.5,26.7,21.2,0
Vellore,0.0,0.51,65.6,33.0,12.4,0
Salem,0.97,1.22,65.7,33.3,6.1,0
Sivaganga,0.0,0.81,59.2,35.7,11.5,0
Erode,0.0,1.38,66.3,33.3,9.0,0
Chengalpattu,1.76,1.42,73.2,35.0,25.4,1
Chengalpattu,128.78,4.81,95.9,28.0,70.3,1
Madurai,0.0,1.03,52.2,37.3,8.7,0
Perambalur,0.0,1.07,60.2,36.0,20.0,0
Chengalpattu,4.45,1.15,75.8,26.9,24.4,0
Viluppuram,0.0,0.95,58.1,38.5,14.4,0
Pudukkottai,106.88,3.31,88.4,30.0,36.8,0
Erode,0.0,0.52,53.0,36.8,5.1,0
Perambalur,0.0,1.21,49.5,34.9,8.3,0
Nagapattinam,20.69,1.61,92.1,33.3,27.3,0
Dharmapuri,0.0,0.7,48.0,36.2,10.8,0
The Nilgiris,5.58,1.49,70.8,13.3,5.1,1
Tiruppur,0.0,0.56,72.6,36.3,14.0,0
Thanjavur,1.05,3.0,59.2,29.4,7.8,1
Tiruvallur,8.16,2.33,67.6,25.7,23.0,0
Salem,0.0,0.69,67.2,29.7,7.7,0
Ramanathapuram,65.46,3.08,93.7,29.9,57.1,0
Tirupathur,79.72,4.65,87.1,16.7,19.1,0
Dharmapuri,0.0,1.0,72.0,37.3,8.0,0
Kanyakumari,15.74,2.28,82.2,23.0,33.3,0
Erode,9.07,0.8,47.0,33.1,17.0,0
Ramanathapuram,7.72,1.9,67.9,34.8,34.6,0
Tiruvarur,12.88,1.88,77.5,32.2,23.0,0
Karur,1.91,4.21,56.0,36.0,17.7,0
Cuddalore,14.8,3.39,78.9,33.6,16.7,0
Ramanathapuram,12.66,2.28,76.5,32.8,40.4,0
Namakkal,0.0,0.52,42.2,38.1,6.8,0
Dindigul,30.75,2.84,97.4,10.6,10.6,0
Namakkal,0.0,0.3,65.4,34.8,7.0,1
Karur,7.01,3.03,56.6,30.5,24.4,0
Salem,0.0,0.37,57.1,32.8,5.2,0
Coimbatore,0.0,0.64,70.4,31.5,9.7,0
Ramanathapuram,49.93,3.41,96.2,28.4,27.8,1
Kallakurichi,0.0,1.22,46.8,39.1,8.9,0
Viluppuram,0.0,1.0,53.2,37.4,9.0,0
Mayiladuthurai,20.79,2.01,76.2,28.7,20.2,0
The Nilgiris,22.25,1.92,70.4,16.4,21.4,0
Tirupathur,4.16,1.5,66.3,11.1,22.8,0
Thanjavur,1.37,2.96,81.3,28.3,9.6,0
Theni,11.28,1.48,76.7,14.8,14.3,0
Thanjavur,24.67,5.13,66.3,32.8,18.3,0
Karur,4.32,4.65,82.3,30.6,16.6,0
Ariyalur,5.41,2.28,79.4,30.2,13.7,0
Thoothukudi,9.39,0.51,78.4,27.5,30.3,0
Madurai,0.0,0.89,56.7,41.7,10.0,0
Pudukkottai,15.28,2.37,73.0,27.3,20.7,0
The Nilgiris,108.64,5.62,84.3,16.0,12.5,1
Thanjavur,0.23,1.95,76.4,35.5,6.2,0
Tiruvarur,12.05,2.19,82.5,26.2,23.4,0
Ramanathapuram,14.74,1.54,70.2,32.1,31.0,0
Tiruvarur,8.2,1.62,84.5,31.0,14.2,0
Dharmapuri,0.0,0.77,64.9,34.1,10.3,0
Coimbatore,0.0,1.67,47.3,39.5,25.3,0
Virudhunagar,0.0,1.1,56.0,33.3,6.5,0
Tirunelveli,0.0,1.18,74.2,29.6,16.5,1
Ariyalur,13.8,3.58,78.8,32.6,8.4,1
Tiruvallur,0.06,1.81,84.3,27.9,32.7,0
Theni,6.16,2.15,90.2,26.3,9.1,0
Virudhunagar,0.0,0.63,70.7,30.0,18.4,0
Tenkasi,34.82,2.68,76.6,16.6,6.3,0
Karur,68.8,5.24,84.4,32.9,15.3,0
Nagapattinam,1.56,1.33,89.9,29.8,50.6,0
Sivaganga,0.0,0.95,69.7,35.5,6.2,0
Salem,0.0,0.53,46.0,37.8,11.4,1
Pudukkottai,16.97,2.0,93.1,32.1,80.2,0
Erode,0.0,0.85,46.7,26.1,5.1,0
Ariyalur,0.94,2.14,65.7,37.2,12.8,0
Madurai,0.0,1.15,68.4,39.4,10.1,0
Virudhunagar,0.0,1.15,52.3,35.3,8.2,0
Mayiladuthurai,15.53,1.18,68.5,27.3,22.7,0
Kallakurichi,0.0,1.14,60.6,31.1,7.3,0
Thoothukudi,65.5,4.63,73.4,31.7,55.0,0
Salem,0.0,0.93,40.4,28.7,18.5,1
Vellore,0.0,1.43,72.5,36.6,12.9,0
Dharmapuri,0.0,0.7,59.5,38.7,11.6,0
Madurai,0.0,0.3,51.2,45.0,5.3,0
Kallakurichi,0.0,1.49,65.6,36.4,6.0,0
Ariyalur,2.3,2.69,73.1,31.7,8.0,0
Coimbatore,0.0,1.76,53.2,35.7,7.9,0
Pudukkottai,0.03,1.64,72.0,31.5,26.9,1
Thanjavur,5.17,3.98,85.3,33.6,13.3,0
Chennai,13.57,2.46,69.9,35.2,26.5,0
Salem,0.0,0.3,74.6,33.2,8.3,0
Tiruppur,0.0,1.03,60.2,35.8,5.5,0
Virudhunagar,2.48,1.04,53.4,32.4,10.7,0
Viluppuram,1.66,0.95,64.0,32.6,7.2,0
Thanjavur,0.32,1.12,60.2,32.5,7.1,0
Tirupathur,21.76,1.78,85.4,8.9,6.0,1
Theni,23.06,1.79,92.3,17.4,28.1,0
Ranipet,0.0,0.53,57.0,31.4,5.1,0
Madurai,0.0,1.18,61.4,35.3,17.5,0
Ranipet,0.0,0.98,54.8,36.2,7.3,0
Tiruvallur,40.32,2.23,91.9,31.6,40.4,0
Thoothukudi,19.78,2.44,94.0,27.8,31.1,0
Ranipet,0.0,1.7,48.0,34.4,11.0,1
Theni,195.97,9.23,87.4,9.4,47.4,1
Vellore,0.0,0.81,60.6,37.5,7.4,0
Viluppuram,0.0,1.34,64.7,36.1,10.8,0
Tiruvallur,0.03,1.0,85.6,33.9,31.6,0
Ranipet,0.0,1.24,74.2,35.1,15.0,0
Ariyalur,113.41,6.62,94.8,28.0,16.4,1
Tiruvarur,14.16,1.31,79.2,36.2,17.3,0
Ramanathapuram,8.0,2.46,69.0,35.9,19.4,0
Ramanathapuram,5.79,2.62,77.6,30.5,26.1,0
Namakkal,0.0,0.84,54.9,35.6,6.2,0
Karur,0.77,1.68,66.4,38.3,9.0,0
Tiruvarur,12.63,1.54,81.7,32.0,43.6,0
Tiruvallur,27.38,3.31,87.3,27.1,31.6,0
Chennai,54.5,1.6,94.7,26.7,22.2,1
Mayiladuthurai,2.59,1.73,84.8,31.8,13.0,0
Cuddalore,84.55,4.18,98.1,27.5,39.2,0
Perambalur,0.0,0.65,63.2,35.6,10.4,0
Tiruchirappalli,7.35,4.39,78.0,31.8,42.2,0
Madurai,0.0,1.22,51.2,32.5,17.5,0
Ramanathapuram,0.16,2.28,70.6,34.8,54.0,0
Sivaganga,0.0,0.82,61.5,32.1,5.3,0
Dharmapuri,0.0,0.3,52.4,36.4,7.1,0
Tiruppur,0.0,0.83,40.5,36.1,7.6,0
Kallakurichi,0.0,0.76,53.2,30.1,10.1,0
Perambalur,0.03,1.07,55.9,33.0,5.6,0
Ramanathapuram,2.31,1.61,87.9,35.4,52.7,0
Karur,0.0,3.85,60.4,28.2,11.9,1
Tiruvannamalai,0.0,0.4,49.5,39.2,12.5,0
Cuddalore,57.61,2.03,80.7,31.1,25.0,0
Coimbatore,0.0,0.69,68.7,32.8,11.0,0
Tirupathur,42.48,3.79,78.3,14.8,8.5,0
Kanyakumari,2.98,2.58,71.5,30.3,47.2,0
Karur,9.11,4.51,71.1,30.6,26.2,0
Chennai,1.89,1.54,79.1,31.8,13.2,0
Thoothukudi,0.21,0.89,67.5,34.7,74.0,0
Sivaganga,0.0,1.92,57.1,32.2,28.3,0
Ramanathapuram,269.35,7.28,100.0,25.8,79.4,1
Pudukkottai,26.67,2.16,86.4,30.6,25.1,0
Chennai,27.29,2.88,82.1,33.7,50.8,1
Sivaganga,0.0,0.85,53.2,30.0,30.1,0
Namakkal,0.0,1.09,64.7,32.7,8.9,0
Tiruppur,19.19,1.18,75.5,35.6,15.1,0
Kanyakumari,37.14,2.23,88.0,31.7,24.4,0
Mayiladuthurai,9.43,0.44,92.6,26.6,35.8,0
Salem,0.0,1.4,58.6,38.1,21.3,0
Tiruvannamalai,0.0,0.43,47.0,38.9,5.6,0
Chennai,21.18,1.98,91.1,28.4,59.6,0
Pudukkottai,5.15,0.66,90.2,32.1,88.9,0
Salem,0.0,0.74,63.5,31.4,18.6,0
Krishnagiri,0.0,1.27,49.8,33.8,19.8,0
Chengalpattu,100.2,3.54,91.5,31.3,75.4,0
Tiruvannamalai,0.0,1.24,46.3,30.6,20.7,0
Dindigul,128.24,6.65,76.2,8.0,14.9,0
Tiruvallur,7.09,1.37,69.0,27.5,15.9,0
Ariyalur,1.19,4.49,55.2,30.0,15.4,0
Ranipet,0.0,1.07,63.1,36.4,40.1,0
Namakkal,0.0,0.82,40.8,39.2,6.9,0
Namakkal,59.38,2.24,54.6,32.8,14.5,0
Theni,140.32,8.01,100.0,16.2,10.5,1
Tiruvannamalai,0.0,1.76,41.2,36.7,17.7,0
Sivaganga,0.0,0.54,41.9,37.4,15.8,1
Ariyalur,22.44,3.04,72.1,30.1,31.9,0
Tenkasi,27.77,2.19,70.0,16.7,24.1,0
Tenkasi,10.54,0.82,71.2,16.0,30.6,0
Karur,0.98,3.13,57.1,34.5,7.2,0
Pudukkottai,16.74,1.28,88.0,35.6,15.8,0
Ranipet,0.0,0.97,58.3,37.8,6.2,0
Kallakurichi,0.0,1.35,53.1,34.8,35.8,0
Dindigul,4.32,1.31,69.5,15.1,20.4,0
Sivaganga,0.0,0.5,71.4,37.5,33.4,0
Perambalur,0.0,1.4,57.6,35.2,13.5,0
Karur,18.7,2.83,59.6,24.9,12.0,0
Cuddalore,29.58,2.36,71.9,26.2,21.2,0
Dindigul,69.0,4.06,78.5,23.6,16.8,0
Nagapattinam,0.03,0.99,91.9,29.7,14.4,1
Virudhunagar,0.0,0.97,68.8,35.6,12.8,0
Coimbatore,0.0,1.52,51.7,27.5,8.3,0
Sivaganga,26.67,1.23,56.5,33.8,19.0,0
Virudhunagar,0.0,1.0,52.2,37.3,20.8,0
Thanjavur,5.51,3.49,69.6,31.6,10.7,0
Kallakurichi,0.0,0.86,46.7,35.7,10.5,0
Madurai,0.0,0.91,49.5,33.6,18.9,0
Coimbatore,0.0,0.47,62.9,33.7,6.2,1
Krishnagiri,0.0,0.3,50.2,32.2,5.7,0
Salem,0.0,1.49,48.6,34.1,17.2,0
Pudukkottai,8.19,1.21,81.9,29.6,46.5,0
Ramanathapuram,2.07,1.99,71.4,25.5,26.0,0
Erode,0.0,1.18,40.1,31.3,5.5,0
Mayiladuthurai,15.24,0.58,86.3,36.6,23.7,0
Tiruppur,0.0,0.91,46.7,34.4,31.8,0
Erode,0.0,1.53,63.6,40.7,13.6,0
Dharmapuri,0.0,1.89,70.2,31.1,22.7,0
Viluppuram,0.0,0.49,71.8,32.3,9.7,1
Tiruvallur,6.77,2.04,81.2,31.6,19.7,0
Mayiladuthurai,59.74,3.35,85.2,27.8,35.2,0
Viluppuram,0.0,0.68,64.5,30.6,27.9,0
Tiruppur,0.0,1.2,63.9,33.2,7.0,0
Cuddalore,0.49,1.32,73.0,30.2,37.1,0
Viluppuram,0.0,0.79,70.0,32.0,12.7,0
Chengalpattu,9.44,1.39,83.3,27.0,25.2,0
Chengalpattu,112.91,3.62,83.9,24.6,43.2,0
Ramanathapuram,5.93,1.69,90.9,31.3,50.7,0
Mayiladuthurai,0.55,2.4,69.9,29.3,18.5,0
Kallakurichi,0.0,0.87,58.4,33.2,5.6,0
Viluppuram,0.0,0.72,46.1,33.2,37.2,0
Kallakurichi,0.0,0.88,52.5,30.1,8.4,0
Tirupathur,117.76,5.77,83.9,8.8,16.4,0
Namakkal,0.0,0.32,69.9,38.0,9.3,1
Perambalur,0.0,0.84,59.3,27.5,5.4,0
Tirunelveli,0.0,0.75,43.7,38.4,5.5,0
Tiruppur,0.0,1.32,64.5,32.3,10.4,0
Kallakurichi,0.0,1.41,70.1,28.6,34.4,0
Tiruchirappalli,77.03,5.61,70.9,28.1,29.4,0
Kallakurichi,0.0,1.14,73.6,34.6,5.7,1
Viluppuram,0.0,1.64,51.1,37.1,13.2,0
Krishnagiri,0.0,1.25,41.7,32.4,8.1,0
Mayiladuthurai,60.91,2.98,96.5,27.7,56.6,0
Tirupathur,0.41,0.72,63.2,15.6,5.7,0
The Nilgiris,131.07,6.77,84.7,16.9,16.5,0
Ariyalur,37.09,5.04,75.6,25.4,39.2,0
Nagapattinam,0.03,2.4,69.0,28.3,25.1,0
Tiruvallur,10.41,1.71,89.1,32.3,24.0,0
Viluppuram,9.71,1.54,48.8,34.3,8.7,0
Pudukkottai,0.85,1.85,69.0,35.1,20.6,0
Tiruvarur,60.28,4.13,78.1,27.7,26.4,0
Tenkasi,28.5,1.9,88.9,22.1,12.4,0
Nagapattinam,0.24,1.98,72.1,28.8,35.0,0
Tiruchirappalli,0.17,1.28,59.3,39.4,28.9,0
Ariyalur,168.88,9.58,100.0,27.5,22.6,1
Nagapattinam,7.12,2.16,76.8,31.5,24.4,0
Thoothukudi,15.06,3.83,88.9,29.4,49.2,0
Salem,0.0,0.94,60.2,31.9,11.8,0
Cuddalore,7.91,1.32,82.4,29.3,16.3,1
Tirupathur,109.13,6.8,91.2,19.5,18.0,0
Dharmapuri,0.0,0.79,41.3,41.2,5.1,0
Tirupathur,144.33,7.62,100.0,8.0,10.7,1
Salem,0.0,1.33,48.1,34.0,16.6,0
Tirunelveli,0.0,0.65,42.1,31.1,8.7,0
Chengalpattu,3.16,0.35,78.2,27.9,28.2,0
Vellore,0.0,0.59,72.6,32.0,19.9,0
The Nilgiris,49.95,3.02,91.2,9.4,20.1,1
Viluppuram,0.0,0.53,55.7,32.3,5.2,0
Thanjavur,7.31,5.1,78.5,33.3,25.8,0
Dindigul,72.36,4.17,92.5,11.4,24.2,0
Tirupathur,24.76,2.77,85.9,16.3,12.5,0
Tiruvannamalai,0.0,1.12,59.8,36.1,67.1,0
Nagapattinam,49.42,3.33,75.7,27.9,21.6,0
Tiruvallur,38.31,3.6,71.0,30.8,25.1,1
Perambalur,0.0,1.2,46.8,34.2,9.1,0
The Nilgiris,9.33,1.9,76.8,23.1,4.7,0
Chennai,0.18,1.58,88.1,22.3,57.9,0
Erode,0.0,1.64,64.5,33.5,10.8,0
Tiruvallur,2.27,0.79,73.2,29.7,34.6,0
Tiruvannamalai,0.0,1.41,51.5,34.9,31.0,0
Krishnagiri,0.0,1.12,48.4,39.2,37.1,0
Tiruvallur,68.66,3.16,94.9,30.5,25.0,0
Tiruvarur,18.64,1.7,83.0,36.0,79.6,0
The Nilgiris,7.36,1.9,80.9,20.4,7.9,0
Tiruvarur,0.79,0.47,75.4,31.7,48.8,0
Tiruchirappalli,19.29,3.07,64.6,30.1,19.4,0
Ranipet,0.0,1.4,63.3,38.5,11.1,0
Chennai,8.66,2.52,72.7,24.9,15.3,0
Coimbatore,0.0,0.92,43.3,30.6,14.5,0
Ranipet,0.0,0.59,62.7,31.2,28.9,0
